,"总股本
[单位] 亿股",
时间,基本面50,上证50
2012-5-18,21623.8321,15027.6272
2012-5-21,21623.8321,15027.6272
2012-5-22,21625.1071,15028.9022
2012-5-23,21625.1071,15028.9022
2012-5-24,21625.1071,15028.9022
2012-5-25,21625.1071,15028.9022
2012-5-28,21625.1071,15028.9022
2012-5-29,21625.1071,15028.9022
2012-5-30,21625.1071,15028.9022
2012-5-31,21625.1071,15028.9022
2012-6-1,21625.1071,15028.9022
2012-6-4,21625.1071,15028.9022
2012-6-5,21625.1071,15028.9022
2012-6-6,21625.1071,15028.9022
2012-6-7,21625.1071,15028.9022
2012-6-8,21625.1071,15028.9022
2012-6-11,21625.1079,15028.9022
2012-6-12,21625.1079,15028.9022
2012-6-13,21625.1851,15028.9794
2012-6-14,21625.1851,15028.9794
2012-6-15,21625.1851,15028.9794
2012-6-18,21625.1851,15040.876
2012-6-19,21625.1851,15040.876
2012-6-20,21625.1851,15040.876
2012-6-21,21625.1851,15040.876
2012-6-25,21625.1851,15040.876
2012-6-26,21625.1851,15040.876
2012-6-27,21625.1851,15040.876
2012-6-28,21625.1851,15040.876
2012-6-29,21625.1851,15040.876
2012-7-2,21608.3989,15025.0859
2012-7-3,21608.3989,15025.0859
2012-7-4,21608.4003,15025.0871
2012-7-5,21608.4003,15025.0871
2012-7-6,21608.4003,15025.0871
2012-7-9,21608.4003,15025.0871
2012-7-10,21612.2686,15025.0871
2012-7-11,21626.9355,15039.754
2012-7-12,21626.9355,15039.754
2012-7-13,21626.9355,15039.754
2012-7-16,21626.9355,15039.754
2012-7-17,21626.9355,15039.754
2012-7-18,21626.9355,15039.754
2012-7-19,21626.9355,15039.754
2012-7-20,21626.9355,15039.754
2012-7-23,21626.9355,15039.754
2012-7-24,21626.9355,15039.754
2012-7-25,21626.9355,15039.754
2012-7-26,21626.9355,15039.754
2012-7-27,21626.9355,15039.754
2012-7-30,21626.9355,15039.754
2012-7-31,21626.9355,15039.754
2012-8-1,21626.9355,15039.754
2012-8-2,21626.9355,15039.754
2012-8-3,21626.9355,15039.754
2012-8-6,21626.9355,15039.754
2012-8-7,21626.9355,15039.754
2012-8-8,21626.9355,15039.754
2012-8-9,21626.9355,15039.754
2012-8-10,21626.9355,15039.754
2012-8-13,21626.9355,15039.754
2012-8-14,21626.9355,15039.754
2012-8-15,21626.9355,15039.754
2012-8-16,21626.9355,15039.754
2012-8-17,21626.9355,15039.754
2012-8-20,21626.9355,15039.754
2012-8-21,21626.9355,15049.5648
2012-8-22,21626.9355,15049.5648
2012-8-23,21626.9355,15049.5648
2012-8-24,21626.9355,15049.5648
2012-8-27,21750.7067,15173.336
2012-8-28,21750.7067,15173.336
2012-8-29,21750.7067,15173.336
2012-8-30,21750.7067,15173.336
2012-8-31,21750.7067,15173.336
2012-9-3,21750.7067,15173.336
2012-9-4,21750.7067,15173.336
2012-9-5,21750.7067,15173.336
2012-9-6,21750.7067,15173.336
2012-9-7,21750.7067,15173.336
2012-9-10,21750.7067,15173.336
2012-9-11,21750.7067,15173.336
2012-9-12,21750.7067,15173.336
2012-9-13,21750.7067,15173.336
2012-9-14,21750.7068,15173.3361
2012-9-17,21750.7068,15173.3361
2012-9-18,21750.7068,15173.3361
2012-9-19,21750.7068,15173.3361
2012-9-20,21750.7068,15173.3361
2012-9-21,21750.7068,15173.3361
2012-9-24,21750.7068,15173.3361
2012-9-25,21750.7068,15173.3361
2012-9-26,21750.7068,15173.3361
2012-9-27,21750.7068,15173.3361
2012-9-28,21750.7068,15173.3361
2012-10-8,21750.7068,15173.3361
2012-10-9,21750.7069,15173.3362
2012-10-10,21750.7069,15173.3362
2012-10-11,21750.7069,15173.3362
2012-10-12,21750.707,15173.3362
2012-10-15,21750.707,15173.3362
2012-10-16,21750.707,15173.3362
2012-10-17,21750.707,15173.3362
2012-10-18,21750.707,15173.3362
2012-10-19,21750.707,15173.3362
2012-10-22,21750.707,15173.3362
2012-10-23,21750.707,15173.3362
2012-10-24,21750.707,15173.3362
2012-10-25,21750.707,15173.3362
2012-10-26,21750.707,15173.3362
2012-10-29,21750.707,15173.3362
2012-10-30,21750.707,15173.3362
2012-10-31,21750.707,15173.3362
2012-11-1,21750.707,15173.3362
2012-11-2,21750.707,15173.3362
2012-11-5,21750.707,15173.3362
2012-11-6,21750.707,15173.3362
2012-11-7,21750.707,15173.3362
2012-11-8,21750.707,15173.3362
2012-11-9,21750.707,15173.3362
2012-11-12,21750.707,15173.3362
2012-11-13,21750.707,15173.3362
2012-11-14,21750.707,15173.3362
2012-11-15,21755.327,15177.9562
2012-11-16,21755.327,15177.9562
2012-11-19,21755.327,15177.9562
2012-11-20,21755.327,15177.9562
2012-11-21,21755.327,15177.9562
2012-11-22,21755.327,15177.9562
2012-11-23,21755.327,15177.9562
2012-11-26,21755.327,15177.9562
2012-11-27,21755.327,15177.9562
2012-11-28,21755.327,15177.9562
2012-11-29,21755.327,15177.9562
2012-11-30,21755.327,15177.9562
2012-12-3,21755.327,15177.9562
2012-12-4,21755.327,15177.9562
2012-12-5,21755.327,15177.9562
2012-12-6,21755.327,15177.9562
2012-12-7,21755.327,15177.9562
2012-12-10,21755.327,15177.9562
2012-12-11,21755.327,15177.9562
2012-12-12,21755.327,15177.9562
2012-12-13,21755.327,15177.9562
2012-12-14,21755.327,15177.9562
2012-12-17,21755.327,15177.9562
2012-12-18,21755.327,15177.9562
2012-12-19,21755.327,15177.9562
2012-12-20,21751.427,15174.0562
2012-12-21,21751.427,15174.0562
2012-12-24,21751.427,15174.0562
2012-12-25,21751.427,15174.0562
2012-12-26,21751.427,15174.0562
2012-12-27,21751.427,15174.0562
2012-12-28,21751.427,15174.0562
2012-12-31,21751.427,15174.0562
2013-1-4,21751.427,15034.5456
2013-1-7,21751.427,15034.5456
2013-1-8,21754.4022,15037.5207
2013-1-9,21773.5537,15056.6722
2013-1-10,21791.9024,15056.6722
2013-1-11,21791.9024,15056.6722
2013-1-14,21791.9024,15059.3943
2013-1-15,21791.9024,15059.3943
2013-1-16,21791.9024,15059.3943
2013-1-17,21791.9024,15059.3943
2013-1-18,21791.9024,15059.3943
2013-1-21,21791.9024,15059.3943
2013-1-22,21791.9024,15059.3943
2013-1-23,21791.9024,15059.3943
2013-1-24,21791.9024,15059.3943
2013-1-25,21791.9024,15059.3943
2013-1-28,21791.9024,15059.3943
2013-1-29,21791.9024,15059.3943
2013-1-30,21791.9024,15059.3943
2013-1-31,21791.9024,15059.3943
2013-2-1,21793.8304,15075.1838
2013-2-4,21793.8304,15075.4118
2013-2-5,21793.8304,15075.4118
2013-2-6,21793.8304,15075.4118
2013-2-7,21793.8304,15075.4118
2013-2-8,21793.8304,15075.4118
2013-2-18,21822.2827,15103.8642
2013-2-19,21822.2827,15103.8642
2013-2-20,21822.2827,15103.8642
2013-2-21,21822.2827,15103.8642
2013-2-22,21822.2827,15103.8642
2013-2-25,21822.2827,15103.8642
2013-2-26,21822.2827,15103.8642
2013-2-27,21822.2827,15103.8642
2013-2-28,21822.2862,15103.8642
2013-3-1,21822.2862,15103.8642
2013-3-4,21822.2862,15103.8642
2013-3-5,21822.2862,15103.8642
2013-3-6,21822.2862,15103.8642
2013-3-7,21822.2862,15103.8642
2013-3-8,21822.2862,15103.8642
2013-3-11,21822.2862,15103.8642
2013-3-12,21822.2862,15103.8642
2013-3-13,21822.2862,15103.8642
2013-3-14,21822.2862,15103.8642
2013-3-15,21822.2862,15103.8642
2013-3-18,21822.2862,15103.8642
2013-3-19,21822.2862,15103.8642
2013-3-20,21822.2862,15103.8642
2013-3-21,21822.2862,15103.8642
2013-3-22,21822.2862,15103.8642
2013-3-25,21822.2862,15103.8642
2013-3-26,21822.2862,15103.8642
2013-3-27,21822.2862,15103.8642
2013-3-28,21822.2862,15103.8642
2013-3-29,21822.2862,15103.8642
2013-4-1,21822.2862,15103.8642
2013-4-2,21822.2868,15103.8647
2013-4-3,21822.5258,15104.1035
2013-4-8,21822.5258,15104.1035
2013-4-9,21822.5258,15104.1035
2013-4-10,21822.5258,15104.1035
2013-4-11,21822.5258,15104.1035
2013-4-12,21822.5258,15104.1035
2013-4-15,21822.5258,15104.1035
2013-4-16,21822.5258,15104.1035
2013-4-17,21822.5258,15104.1035
2013-4-18,21822.5258,15104.1035
2013-4-19,21822.5258,15104.1035
2013-4-22,21822.5258,15104.1035
2013-4-23,21822.5258,15104.1035
2013-4-24,21822.5258,15104.1035
2013-4-25,21822.5258,15104.1035
2013-4-26,21822.6379,15104.1035
2013-5-2,21822.6379,15104.1035
2013-5-3,21822.6379,15104.1035
2013-5-6,21822.6379,15104.1035
2013-5-7,21822.6379,15104.1035
2013-5-8,21822.6462,15104.1035
2013-5-9,21822.6462,15104.1035
2013-5-10,21822.6462,15104.1035
2013-5-13,21822.6462,15104.1035
2013-5-14,21822.6462,15104.1035
2013-5-15,21822.6462,15104.1035
2013-5-16,21822.6462,15104.1035
2013-5-17,21822.6465,15104.1035
2013-5-20,21822.6465,15104.1035
2013-5-21,21822.6465,15104.1035
2013-5-22,21822.6465,15104.1035
2013-5-23,21816.1433,15097.6003
2013-5-24,21816.1433,15097.6003
2013-5-27,21816.1433,15097.6003
2013-5-28,21816.1433,15097.6003
2013-5-29,21816.1433,15097.6003
2013-5-30,21816.1433,15097.6003
2013-5-31,21816.1433,15097.6003
2013-6-3,21816.1433,15097.6003
2013-6-4,21816.1433,15097.6003
2013-6-5,21816.1433,15097.6003
2013-6-6,21816.145,15097.6003
2013-6-7,21816.145,15097.6003
2013-6-13,21816.1451,15097.6005
2013-6-14,21816.1451,15097.6005
2013-6-17,21816.1451,15097.6005
2013-6-18,21816.1451,15099.1401
2013-6-19,22085.1428,15368.1378
2013-6-20,22115.8829,15368.1378
2013-6-21,22115.8829,15368.1378
2013-6-24,22115.8829,15385.6596
2013-6-25,22115.8829,15385.6596
2013-6-26,22115.8834,15385.6596
2013-6-27,22115.8834,15385.6596
2013-6-28,22115.8834,15385.6596
2013-7-1,22145.536,15178.9157
2013-7-2,22145.536,15179.0967
2013-7-3,22209.1053,15242.6659
2013-7-4,22209.1053,15242.6659
2013-7-5,22209.1053,15242.6659
2013-7-8,22209.1053,15242.6659
2013-7-9,22209.1053,15242.6659
2013-7-10,22209.1053,15242.6659
2013-7-11,22209.1053,15242.6659
2013-7-12,22209.1053,15242.6659
2013-7-15,22209.1053,15242.6659
2013-7-16,22209.1053,15242.6659
2013-7-17,22209.1053,15242.6659
2013-7-18,22209.1053,15242.6659
2013-7-19,22209.1053,15242.6659
2013-7-22,22209.1053,15242.6659
2013-7-23,22209.1053,15242.6659
2013-7-24,22229.6545,15263.2151
2013-7-25,22229.6545,15263.2151
2013-7-26,22229.6545,15263.2151
2013-7-29,22229.6545,15263.2151
2013-7-30,22229.6545,15263.2151
2013-7-31,22229.6545,15263.2151
2013-8-1,22229.6545,15263.2151
2013-8-2,22229.6545,15263.2151
2013-8-5,22229.6545,15263.2151
2013-8-6,22229.6545,15263.2151
2013-8-7,22229.7158,15263.2151
2013-8-8,22229.7158,15263.2151
2013-8-9,22229.7158,15263.2151
2013-8-12,22229.7158,15263.2151
2013-8-13,22229.7158,15263.2151
2013-8-14,22229.7158,15263.2151
2013-8-15,22229.7158,15263.2151
2013-8-16,22229.7158,15263.2151
2013-8-19,22229.7158,15263.2151
2013-8-20,22229.7158,15263.2151
2013-8-21,22229.7158,15263.2151
2013-8-22,22229.7158,15263.2151
2013-8-23,22229.7158,15263.2151
2013-8-26,22229.7158,15263.2151
2013-8-27,22229.7158,15263.2151
2013-8-28,22229.7158,15263.2151
2013-8-29,22229.7158,15263.2151
2013-8-30,22229.7158,15263.2151
2013-9-2,22229.7158,15263.2151
2013-9-3,22229.7158,15263.2151
2013-9-4,22229.7158,15263.2151
2013-9-5,22259.344,15292.8432
2013-9-6,22259.344,15292.8432
2013-9-9,22229.7159,15263.2151
2013-9-10,22229.7159,15263.2151
2013-9-11,22259.344,15292.8432
2013-9-12,22259.344,15292.8432
2013-9-13,22259.344,15292.8432
2013-9-16,22259.344,15292.8432
2013-9-17,22259.344,15292.8432
2013-9-18,22259.344,15292.8432
2013-9-23,22259.344,15292.8432
2013-9-24,22259.344,15292.8432
2013-9-25,22259.344,15292.8432
2013-9-26,22259.344,15292.8432
2013-9-27,22259.344,15292.8432
2013-9-30,22259.344,15292.8432
2013-10-8,22266.1482,15299.6475
2013-10-9,22275.3871,15308.8768
2013-10-10,22275.3871,15308.8768
2013-10-11,22275.3871,15308.8768
2013-10-14,22275.3871,15308.8768
2013-10-15,22275.3871,15308.8768
2013-10-16,22275.3871,15308.8768
2013-10-17,22275.3871,15308.8768
2013-10-18,22275.3871,15308.8768
2013-10-21,22275.3871,15308.8768
2013-10-22,22275.3871,15308.8768
2013-10-23,22275.3871,15313.9347
2013-10-24,22275.3871,15313.9347
2013-10-25,22275.3871,15313.9347
2013-10-28,22275.3871,15313.9347
2013-10-29,22275.3871,15313.9347
2013-10-30,22275.3871,15313.9347
2013-10-31,22275.3871,15313.9347
2013-11-1,22275.3871,15313.9347
2013-11-4,22275.3871,15313.9347
2013-11-5,22275.3871,15313.9347
2013-11-6,22275.3871,15313.9347
2013-11-7,22275.3871,15313.9347
2013-11-8,22275.3871,15313.9347
2013-11-11,22275.3871,15313.9347
2013-11-12,22275.3871,15313.9347
2013-11-13,22275.3871,15313.9347
2013-11-14,22275.3871,15313.9347
2013-11-15,22275.3871,15313.5835
2013-11-18,22275.3871,15313.5835
2013-11-19,22275.3871,15313.5835
2013-11-20,22275.3871,15313.5835
2013-11-21,22275.3871,15313.5835
2013-11-22,22275.3871,15313.5835
2013-11-25,22275.3871,15313.5835
2013-11-26,22275.3871,15313.5835
2013-11-27,22275.3871,15313.5835
2013-11-28,22275.3871,15313.5835
2013-11-29,22275.3871,15313.5835
2013-12-2,22275.3871,15313.5835
2013-12-3,22275.3871,15313.5835
2013-12-4,22275.3871,15313.5835
2013-12-5,22275.3871,15313.5835
2013-12-6,22275.3871,15313.5835
2013-12-9,22275.3871,15313.5835
2013-12-10,22275.3871,15313.5835
2013-12-11,22275.3871,15313.5835
2013-12-12,22275.3871,15313.5835
2013-12-13,22275.3871,15313.5835
2013-12-16,22275.3871,15306.2024
2013-12-17,22275.3871,15306.2024
2013-12-18,22275.3871,15306.2024
2013-12-19,22275.3871,15306.2024
2013-12-20,22333.8071,15364.6224
2013-12-23,22333.8071,15364.6224
2013-12-24,22333.8071,15364.6224
2013-12-25,22333.8071,15364.6224
2013-12-26,22333.8071,15364.6224
2013-12-27,22333.8071,15364.6224
2013-12-30,22333.8071,15364.6224
2013-12-31,22333.8071,15364.6224
2014-1-2,22333.8071,15364.6224
2014-1-3,22333.8076,15366.8549
2014-1-6,22344.1433,15375.0296
2014-1-7,22344.1433,15375.0296
2014-1-8,22344.1433,15375.0296
2014-1-9,22357.3771,15375.0296
2014-1-10,22357.3771,15377.9402
2014-1-13,22357.3771,15377.9402
